state,OFFENCES AGAINST PERSONS,OFFENCES AGAINST PROPERTY,OFFENCES AGAINST LAWFUL AUTHORITY,total_crime_2017
Abuja,1183,4160,39,5382
Akwa Ibom,702,593,378,1673
Anambra,127,1030,731,1888
Abia,9816,2320,272,12408
Adamawa,811,1406,52,2269
Bauchi,196,186,4,386
Benue,431,1500,110,2041
Borno,681,907,3,1591
Bayelsa,612,840,91,1543
Cross River,949,1158,56,2163
Delta,3310,3109,731,7150
Ebonyi,1275,2787,152,4214
Edo,729,848,152,1729
Enugu,935,1111,125,2171
Gombe,408,972,33,1413
Ekiti,427,554,0,981
Imo,893,697,0,1590
Jigawa,345,397,47,789
Kaduna,385,694,4,1083
Kano,2102,3314,289,5705
Katsina,602,902,58,1562
Kebbi,88,106,11,205
Kogi,146,111,25,282
Kwara,279,526,25,830
Lagos,18926,24989,7060,50975
Niger,564,1343,754,2661
Nasarawa,466,481,133,1080
Ogun,518,546,537,1601
Ondo,1282,2142,289,3713
Oyo,1058,1865,46,2969
Osun,318,514,54,886
Plateau,736,1869,2,2607
Rivers,467,1103,0,1570
Sokoto,766,1622,26,2414
Taraba,550,998,33,1581
Yobe,367,535,88,990
Zamfara,169,318,32,519
Railway Command,22,26,1,49
Ports Authority Command (Pap),0,0,0,0
Total,53641,68579,12443,134663
