bedrooms,bathrooms,toilets,parking_space,type,town,state,geo_zone,GDP_per_capital,total_crime,price_wins
6,5,5,4,Detached Duplex,Mabushi,Abuja,North Central,1292.0,5382,450000000.0
4,5,5,4,Terraced Duplexes,Katampe,Abuja,North Central,1292.0,5382,650000000.0
4,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,120000000.0
4,4,5,6,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,40000000.0
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,75000000.0
5,5,6,1,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,450000000.0
4,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,65000000.0
2,2,3,6,Detached Bungalow,Epe,Lagos,South West,6614.0,50975,13000000.0
1,1,1,1,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,200000000.0
4,4,5,5,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,60000000.0
3,4,5,4,Terraced Duplexes,Lokogoma District,Abuja,North Central,1292.0,5382,25000000.0
6,6,6,4,Semi Detached Duplex,Oredo,Edo,South South,2038.0,1729,45000000.0
4,5,6,3,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,65000000.0
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,70000000.0
6,6,7,4,Detached Duplex,Victoria Island (VI),Lagos,South West,6614.0,50975,450000000.0
3,4,4,3,Detached Bungalow,Mowe Ofada,Ogun,South West,2024.0,1601,13000000.0
4,4,5,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,48000000.0
3,3,4,4,Detached Bungalow,Lokogoma District,Abuja,North Central,1292.0,5382,37000000.0
4,5,5,4,Detached Duplex,Victoria Island (VI),Lagos,South West,6614.0,50975,170000000.0
3,3,4,2,Block of Flats,Ikeja,Lagos,South West,6614.0,50975,350000000.0
5,5,6,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,85000000.0
3,3,4,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,34000000.0
4,5,5,2,Terraced Duplexes,Victoria Island (VI),Lagos,South West,6614.0,50975,130000000.0
5,6,7,6,Detached Duplex,Katampe,Abuja,North Central,1292.0,5382,160000000.0
4,4,5,3,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,60000000.0
5,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,270000000.0
5,6,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,250000000.0
4,4,5,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,180000000.0
6,8,8,3,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,650000000.0
4,4,5,4,Detached Duplex,Magodo,Lagos,South West,6614.0,50975,140000000.0
5,5,6,4,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,650000000.0
2,3,5,4,Block of Flats,Mowe Ofada,Ogun,South West,2024.0,1601,13000000.0
5,5,6,6,Detached Duplex,Kaura,Abuja,North Central,1292.0,5382,150000000.0
4,4,5,8,Detached Duplex,Galadimawa,Abuja,North Central,1292.0,5382,70000000.0
3,5,5,4,Terraced Duplexes,Ajah,Lagos,South West,6614.0,50975,40000000.0
5,5,6,1,Detached Duplex,Oredo,Edo,South South,2038.0,1729,70000000.0
